StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,study_id,Day,Q27,Q1,Q3,Q6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21_1,Q21_2,Q22_1,Q23_1,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q30_1,Q30_2,Q30_3,Q30_4
2019-04-29T16:02:18Z,2019-04-29T17:05:39Z,0,100,3801,1,2019-04-29T17:05:39Z,3,1,22,2,4,I gave a good friend of mine a small birthday gift and wished her happy birthday and to me that felt authentic.,2,4,6,4,6,2,2,4,2,2,6,5,2,2,1,3,3,5,3,2,2,1,1,1,3,I had to deal with a customer at work who was difficult and I had to still be nice towards her despite her unresponsiveness and disregard for what I had to tell her,2,2,2,2,2,6,2,2,4,4,1,2,5,1,1,1,1,1,1,1,1,2,3,3,1,2,2,I had an instrumental cover of the GOT theme song in the background as I studied for an upcoming tests.,2,2,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,1,1,1,1,Walking alone in the halls and feeling self conscious about the way I look  especially with the breakouts on my face lately.,7,1,1,1,1,4,6,1,4,1,1,1,4,3,4,1,1,1,1,2,1,2,2,4,1,6,5,7,1,3,4,1,4,3,4,1,1,2,0,50,50,1,2,2,3,3,3,2,2,2,3,2,2,1,1,4,1,3,3,6,5,2,3,1,2,2,6,4,2
2019-04-30T19:10:44Z,2019-04-30T19:19:47Z,0,100,542,1,2019-04-30T19:19:48Z,3,2,23,2,3,I saw a friend in the hallway that I haven't seen in a while and she was putting up flyers for an upcoming event so we briefly spoke about our admiration for AOC.,4,2,5,6,6,2,2,4,2,1,7,6,4,1,1,3,4,4,3,1,1,1,1,1,4,When I was peer pressured into going on a trip despite my schedule.,6,5,4,4,2,5,4,2,6,4,4,4,4,3,2,1,1,1,1,1,1,1,3,1,2,1,1,N/A I didn't feel authentic during any points of my alone time.,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,N/A I cannot recall an inauthentic time alone.,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,5,4,1,1,1,4,1,1,1,1,0,20,35,2,3,1,2,2,3,3,2,3,4,2,3,2,3,4,4,2,2,6,3,4,4,2,3,3,4,3,4
2019-05-01T17:54:25Z,2019-05-01T18:02:41Z,0,100,496,1,2019-05-01T18:02:42Z,3,3,24,4,2,When I attended supervisor of the year where I nominated my supervisor.,2,6,4,6,6,2,2,6,2,2,6,5,2,1,1,3,3,3,3,3,2,1,1,1,4,When I was in class and had to pose a question for participation points.,1,1,1,2,1,6,4,1,6,1,2,1,6,3,2,1,1,1,1,1,1,1,3,1,1,3,1,"I was sitting in my favorite place on campus locked away from everyone else just doing my own thing, lost in my own thoughts.",1,4,4,6,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1,5,5,1,1,1,1,N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,4,4,1,1,4,4,1,1,3,0,40,80,1,1,1,3,1,3,3,3,3,1,1,3,4,4,1,1,4,1,3,1,4,4,1,1,4,1,4,4
2019-05-02T17:39:36Z,2019-05-02T17:47:30Z,0,100,474,1,2019-05-02T17:47:31Z,3,4,25,4,1,"My best friend picked me up from campus to go to an event for seniors at the beer market and the conversation I had with her in the car, during the event and after the event was so natural.",1,4,6,6,6,1,1,6,1,1,6,6,1,1,1,5,5,4,4,1,3,1,1,1,4,When I was briefly speaking to a friend that I have not spoken to in a long time asking her about her project.,5,4,4,4,5,4,5,4,4,2,5,4,4,1,1,2,2,3,3,1,1,1,1,1,4,4,2,Speaking to an alum on the phone as he shared his experiences in his industry and imparted advice.,5,6,5,4,5,2,4,3,5,1,6,5,4,3,2,3,3,3,3,1,3,1,1,2,4,As I was waiting for a phone call standing in front of iZone.,7,4,2,2,2,5,6,2,6,5,1,2,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,90,60,1,1,1,3,1,3,4,4,5,2,1,1,4,5,2,1,4,1,2,2,1,6,1,1,7,1,5,5
2019-05-03T17:20:13Z,2019-05-03T17:28:08Z,0,100,474,1,2019-05-03T17:28:08Z,3,5,26,5,2,Joking around at a senior sendoff luncheon with members from work that have seen me grow since freshman year.,2,6,6,6,6,2,1,6,1,2,7,6,1,2,1,4,3,4,5,2,2,1,1,1,4,I was photographing an event earlier and an old acquaintance attended it. It felt like a forced interaction.,5,2,4,4,1,5,4,4,4,1,2,6,4,1,1,1,1,1,1,3,1,1,1,1,2,1,1,Was not alone enough to feel any authentic experiences.,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,While I was working out in the gym I felt self conscious,6,4,3,4,4,4,6,4,4,6,4,5,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,7,1,1,1,7,4,1,1,1,3,20,100,100,3,3,1,3,1,4,3,1,3,1,1,2,4,4,4,5,4,6,2,2,6,6,1,4,5,2,5,4
2019-04-29T16:00:48Z,2019-04-29T22:05:48Z,0,100,21899,1,2019-04-29T22:05:48Z,4,1,22,3,2,I heard complains from a student that was a truthful presentation of his image,4,5,5,5,6,2,3,4,5,2,7,5,4,5,3,4,4,5,5,3,4,1,5,4,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,4,5,4,3,4,2,2,2,4,2,2,Some one listened to me complain about my class situations and we had a conservation back and forth.,6,6,6,6,5,1,3,6,3,2,6,5,3,3,2,4,4,4,4,5,4,1,3,3,4,Having to say hi to someone I don’t like,5,3,2,4,1,6,3,2,1,5,3,2,3,2,4,2,2,1,1,3,3,3,2,4,1,3,3,3,6,2,4,5,3,4,2,5,6,7,10,20,57,3,3,2,5,3,4,3,3,3,4,2,4,5,6,4,6,5,5,3,2,5,7,1,3,4,2,7,4
NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-02T21:31:01Z,2019-05-02T21:38:30Z,0,100,448,1,2019-05-02T21:38:30Z,4,4,25,5,1,Discussing body positivities.,7,7,7,7,5,1,4,7,2,1,7,7,1,3,4,4,4,4,3,3,3,2,1,4,3,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,Reflecting on my recent behaviors.,6,NA,5,6,2,3,5,6,4,3,3,6,2,2,3,2,2,3,2,4,5,2,2,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,3,3,2,3,3,4,2,2,4,3,30,20,4,3,3,3,1,2,4,4,3,2,2,3,4,4,3,4,4,4,3,3,5,5,4,5,4,4,4,3
NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-22T16:02:05Z,2019-04-22T16:12:31Z,0,100,625,1,2019-04-22T16:12:31Z,5,1,15,3,1,Talked about horrible of an experience it was to wait in line for 5+ hours to buy senior tickets. Felt authentic due to the laughing.,1,1,4,6,5,2,2,5,2,1,5,5,3,1,1,3,4,3,3,5,4,1,1,1,4,Just briefly saying hi to an old roommate while walking to class. Felt inauthentic as he barely maintained any eye contact.,1,2,4,6,6,2,1,4,2,1,4,5,1,1,1,2,3,2,2,5,4,1,1,1,2,3,2,Working on a lab report by myself in a quiet place in the library. felt authentic as i was in tune with my own emotions and thoughts.,1,5,5,6,6,1,1,4,1,4,2,6,2,1,1,2,2,3,3,5,5,1,1,1,2,"waiting for like 15 minutes for a SONA study as I got out of class earlier than expected. Felt inauthentic as I was anxious, wanting the study to be over, so I can go to my presentation.",1,1,4,4,3,1,5,3,1,5,2,4,5,4,4,1,2,1,1,1,3,1,2,1,1,2,1,1,4,4,3,1,5,1,2,1,1,1,0,4,5,2,4,1,2,2,1,2,4,3,1,1,1,4,4,1,1,4,5,2,2,5,6,1,1,4,2,2,4
2019-04-23T17:09:03Z,2019-04-23T17:22:27Z,0,100,804,1,2019-04-23T17:22:28Z,5,2,16,4,2,25 minute car ride with another member in lab on route to a school visit. Talked about post-undergraduate goals. Felt authentic in the sense that I told her what I wanted to do versus what my parents wanted,1,4,6,5,6,2,2,6,2,2,6,6,3,1,1,4,4,4,2,3,3,1,1,1,4,Waiting outside a room to do test corrections. had to talk with a person that I found very annoying. Felt inauthentic cause I had to pretend to enjoy his company.,2,3,4,4,3,4,2,3,6,1,4,3,4,2,2,1,3,4,1,3,3,1,1,2,2,4,2,Watching baseball by myself. Felt authentic in that I didn't have be interrupted by suite mates who do not like baseball or find it boring.,1,3,5,6,6,1,1,4,2,1,5,5,1,1,1,4,4,4,1,4,4,1,1,1,2,Considering retaking the MCAT because my parents said so. Felt inauthentic because I felt like personally I had a pretty decent score.,4,5,4,4,2,5,7,2,6,5,3,2,5,2,3,2,3,2,1,2,2,1,1,3,2,1,2,3,2,5,5,1,4,6,5,1,1,0,30,2,5,2,4,1,2,2,2,3,4,3,1,1,2,4,4,3,3,5,4,2,4,3,5,1,1,5,1,3,4
2019-04-24T16:18:43Z,2019-04-24T16:26:11Z,0,100,447,1,2019-04-24T16:26:11Z,5,3,17,3,3,"When I was shadowing a doctor and he was giving me advice about medical school. Felt authentic in the sense that he is at the point that I want to be at the ""end"" of this journey.",1,5,6,6,7,1,1,6,1,1,7,6,1,1,1,5,4,4,3,4,4,1,1,1,4,"When I was working on a group project for my linguistics class. Felt inauthentic in the sense that my group members do not contribute a lot, and I had to hold back from saying anything because they are still part of my group.",NA,5,3,4,3,5,5,2,6,4,4,3,5,3,2,2,3,2,1,2,3,1,2,3,1,2,2,Waiting in a classroom for an hour before my group members arrived for the project. Felt authentic in the sense that I was able to reflect on my day such as the shadowing experience.,1,7,6,6,7,1,1,6,1,2,6,5,1,1,1,3,3,4,1,5,5,1,1,1,1,"Studying for my last midterm. Felt inauthentic because I was feeling pressured to finish studying as the midterm is very soon, and I know I should not have procrastinated this much; I usually don't.",1,3,1,2,2,6,5,1,5,5,1,3,6,3,4,1,2,1,1,1,2,1,2,4,1,5,4,4,6,1,5,1,7,1,4,1,1,0,45,10,5,2,2,1,2,3,1,2,3,3,1,1,1,3,2,4,2,4,3,4,4,5,5,1,4,4,1,5,4
2019-04-25T19:13:01Z,2019-04-25T22:09:18Z,0,100,10577,1,2019-04-25T22:09:19Z,5,4,18,2,2,Watching the NFL draft with my suitemate. Felt authentic in the sense that we both really love talking about sports,1,3,5,6,5,2,2,5,2,1,6,4,2,1,1,3,3,5,4,3,2,1,1,1,5,Had to be in a group for my workshop to talk about an essay. The members did not read the assigned reading so i just had to lead the conversation,1,2,4,4,3,6,6,2,6,4,3,4,5,3,1,2,1,1,1,3,2,1,2,3,2,2,3,Doing the readings for my study guide for midterm. Felt authentic because I thoroughly enjoy the class and find the readings fascinating,1,1,7,6,7,1,1,6,1,1,6,6,1,1,1,3,4,3,3,1,4,1,1,1,1,Filling out an excel sheet for my lab. Felt inauthentic cause the task was so boring and I wanted to do anything other than that,1,1,1,1,1,6,5,1,6,5,1,1,6,3,3,1,1,1,1,1,1,2,2,1,1,4,2,2,3,3,5,4,2,1,3,4,4,1,0,10,20,3,4,2,1,1,1,3,3,4,2,1,2,5,4,2,4,3,5,4,4,4,4,1,1,4,3,4,4
